,,0
cfpl_total_radius_of_end_regions,fatr_curl,-0.7190321710283958
fatr_curl,cfpl_total_radius_of_end_regions,-0.7190321710283958
cfpr_area_of_end_region_2,cfpr_irregularity_of_end_region_1,-0.7189112707917613
cfpr_irregularity_of_end_region_1,cfpr_area_of_end_region_2,-0.7189112707917613
cfpl_elongation,cfpl_nrdi02L,-0.7187865439708798
cfpl_nrdi02L,cfpl_elongation,-0.7187865439708798
cfpl_nrdi04L,cfpl_elongation,-0.7183329069620893
cfpl_elongation,cfpl_nrdi04L,-0.7183329069620893
cfpl_elongation,ufsl_qa,-0.7181401160738284
ufsl_qa,cfpl_elongation,-0.7181401160738284
fatl_curl,cfpr_total_area_of_end_regions,-0.7179428283788191
cfpr_total_area_of_end_regions,fatl_curl,-0.7179428283788191
fatr_irregularity_of_end_region_2,ufsr_total_area_of_end_regions,-0.7176492835813628
ufsr_total_area_of_end_regions,fatr_irregularity_of_end_region_2,-0.7176492835813628
slfl_trunk_volume,slfl_irregularity_of_end_region_1,-0.7174975475644442
slfl_irregularity_of_end_region_1,slfl_trunk_volume,-0.7174975475644442
cfpr_total_surface_area,fatr_curl,-0.7171023059290831
fatr_curl,cfpr_total_surface_area,-0.7171023059290831
cfpl_elongation,afsr_iso,-0.7170150515588631
afsr_iso,cfpl_elongation,-0.7170150515588631
slfl_irregularity_of_end_region_2,slfl_number_of_tracts,-0.7161071897999013
slfl_number_of_tracts,slfl_irregularity_of_end_region_2,-0.7161071897999013
cfpl_nrdi06L,cfpl_elongation,-0.7157821782330366
cfpl_elongation,cfpl_nrdi06L,-0.7157821782330366
fatr_branch_volume,fatr_trunk_volume,-0.7156511949062317
fatr_trunk_volume,fatr_branch_volume,-0.7156511949062317
fatl_area_of_end_region_1,fatr_irregularity_of_end_region_2,-0.7153650918223673
fatr_irregularity_of_end_region_2,fatl_area_of_end_region_1,-0.7153650918223673
cfpl_elongation,ufsr_rdi,-0.7149485438058484
ufsr_rdi,cfpl_elongation,-0.7149485438058484
fatl_irregularity_of_end_region_1,cfpl_radius_of_end_region_2,-0.7141215688072663
cfpl_radius_of_end_region_2,fatl_irregularity_of_end_region_1,-0.7141215688072663
fatr_irregularity_of_end_region_2,cfpr_diameter,-0.7139877131262361
cfpr_diameter,fatr_irregularity_of_end_region_2,-0.7139877131262361
cfpl_iso,cfpl_elongation,-0.7138527344820478
cfpl_elongation,cfpl_iso,-0.7138527344820478
ufsr_nrdi02L,cfpl_elongation,-0.7135796227962468
cfpl_elongation,ufsr_nrdi02L,-0.7135796227962468
cfpl_elongation,afsl_qa,-0.7134666409098767
afsl_qa,cfpl_elongation,-0.7134666409098767
fatr_dti_fa,cfpr_irregularity_of_end_region_2,-0.7122134361441635
cfpr_irregularity_of_end_region_2,fatr_dti_fa,-0.7122134361441635
ufsr_nrdi04L,cfpl_elongation,-0.711888595583028
cfpl_elongation,ufsr_nrdi04L,-0.711888595583028
slfl_irregularity,slfl_elongation,-0.711042333854899
slfl_elongation,slfl_irregularity,-0.711042333854899
slfl_irregularity_of_end_region_1,slfl_volume,-0.7103480294698863
slfl_volume,slfl_irregularity_of_end_region_1,-0.7103480294698863
slfl_diameter,slfr_elongation,-0.7101684222024245
slfr_elongation,slfl_diameter,-0.7101684222024245
cfpl_radius_of_end_region_1,cfpr_irregularity_of_end_region_1,-0.7096219816189707
cfpr_irregularity_of_end_region_1,cfpl_radius_of_end_region_1,-0.7096219816189707
ufsl_total_area_of_end_regions,fatr_irregularity_of_end_region_2,-0.7095025508161763
fatr_irregularity_of_end_region_2,ufsl_total_area_of_end_regions,-0.7095025508161763
fatl_elongation,cfpl_radius_of_end_region_2,-0.7093623327379727
cfpl_radius_of_end_region_2,fatl_elongation,-0.7093623327379727
fatl_area_of_end_region_1,fatl_elongation,-0.7092335399336919
fatl_elongation,fatl_area_of_end_region_1,-0.7092335399336919
slfl_irregularity_of_end_region_1,slfl_number_of_tracts,-0.7087105758402666
slfl_number_of_tracts,slfl_irregularity_of_end_region_1,-0.7087105758402666
cfpl_elongation,cfpr_rdi,-0.7084930769228918
cfpr_rdi,cfpl_elongation,-0.7084930769228918
slfl_irregularity_of_end_region_2,slfl_area_of_end_region_1,-0.7084698314867923
slfl_area_of_end_region_1,slfl_irregularity_of_end_region_2,-0.7084698314867923
cfpl_elongation,cfpr_nrdi02L,-0.7080482416993195
cfpr_nrdi02L,cfpl_elongation,-0.7080482416993195
fatr_irregularity_of_end_region_1,cfpl_radius_of_end_region_2,-0.7080233451769681
cfpl_radius_of_end_region_2,fatr_irregularity_of_end_region_1,-0.7080233451769681
