0,N
qa	0.178685,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.417521,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.79586,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.15497,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.616305,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.548889,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.317678,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.407243,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.159861,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0245822,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	7026,sub-50023_dwi.Frontal_Aslant_Tract_R.stat.txt	0
