0,N
elongation	10.8883,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	12.1272,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	15252.2,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	5412.45,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	9839.76,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	30006,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	25.0208,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	2145.59,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	5.96452,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	1247.6,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	18.7895,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.88901,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	897.995,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	6.23124,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.135839,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.196552,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.468269,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.76201,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.16221,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.561912,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.531968,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.313864,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.401987,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.157623,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.0240904,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	13169,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	123.208,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	23.9412,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	5.14629,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	7.2583,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	16.9748,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	27882.9,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	19835.2,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	8047.68,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	49075.4,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	24.2344,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	4650.58,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	7.46913,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	3164.04,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	15.5269,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.239375,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	1486.54,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	8.70747,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.160235,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.210016,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.505422,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.767944,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.21982,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.542004,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.495474,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.297837,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.381422,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.149541,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.0228398,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-50015_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	13088,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	121.334,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	32.3144,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	3.75481,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	3
