0,N
total surface area(mm^2)	14464.9,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	18.2141,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	1470.87,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	11
irregularity	7.00031,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	614.985,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	9.50414,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.461436,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	855.886,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	8.70995,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.278461,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	18
qa	0.0965132,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	19
dti_fa	0.309532,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	20
md	0.967594,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	21
ad	1.2491,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	22
rd	0.826841,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	23
iso	0.348215,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	24
rdi	0.22652,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	25
nrdi02L	0.291141,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	26
nrdi04L	0.114649,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	27
nrdi06L	0.0179396,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	28
,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	29
number of tracts	2774,sub-10273_dwi.Uncinate_Fasciculus_L.stat.txt	0
mean length(mm)	42.5668,sub-10273_dwi.Uncinate_Fasciculus_L.stat.txt	1
span(mm)	13.5141,sub-10273_dwi.Uncinate_Fasciculus_L.stat.txt	2
curl	3.1498,sub-10273_dwi.Uncinate_Fasciculus_L.stat.txt	3
elongation	2.71158,sub-10273_dwi.Uncinate_Fasciculus_L.stat.txt	4
diameter(mm)	15.6981,sub-10273_dwi.Uncinate_Fasciculus_L.stat.txt	5
volume(mm^3)	8238.64,sub-10273_dwi.Uncinate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	5008.01,sub-10273_dwi.Uncinate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	3230.63,sub-10273_dwi.Uncinate_Fasciculus_L.stat.txt	8
