0,N
radius of end region 1(mm)	9.82845,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.234769,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	2050.6,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	9.29558,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.13238,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.142191,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.430532,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.798493,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.16293,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.616275,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.364494,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.246576,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.316132,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.124114,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.019101,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	6990,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	72.6315,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	25.2745,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.87371,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	4.10659,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	17.6865,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	17844.4,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	13167.3,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	4677.02,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	31200.7,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	19.1705,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	2937.83,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	7.73119,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	1226.05,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	11.4087,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.333513,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1711.77,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	7.76184,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.110569,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.21093,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.405937,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.786081,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.12944,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.614403,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.549477,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.37164,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.4762,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.186825,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0286405,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-10228_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	7872,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	78.2613,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	26.9679,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.90201,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	4.26221,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	18.3617,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	20723.4,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	9806.46,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	10917,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	36654.3,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	20.172,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	2962.31,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	8.11924,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	1479.68,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	12.397,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.326299,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1482.62,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	7.77495,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.12809,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.21501,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.400207,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.824918,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.17325,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.650749,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.560592,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.379275,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.486425,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.191049,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0294663,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-10235_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	7796,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	79.6698,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	29.2924,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.71981,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	4.59185,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	17.3503,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	18836.4,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	11862.9,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	6973.42,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	32973.2,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	19.799,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	3387.31,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	7.59295,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	2092.71,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	12.8375,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.247401,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1294.6,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	6.9615,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.117603,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.119091,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.410651,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.895541,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.25167,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	22
