0,N
trunk volume(mm^3)	1436.6,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	771.669,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	6777.56,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	9.55837,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	187.042,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	3.87048,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	48.9638,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	5.3576,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	1.84169,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	138.078,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	4.20077,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.401499,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.271986,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.493901,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.857669,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.36799,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.602507,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.533168,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.374656,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.480496,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.188718,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.029105,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	3296,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	73.4968,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
