0,N
curl	3.71772,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	6.55593,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	17.6236,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	28184.5,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	18381,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	9803.52,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	49595.4,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	24.2723,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	4029.72,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	7.75293,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	1729.4,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	13.9076,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.351365,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	2300.32,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	10.3647,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.146716,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.125923,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.47036,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.7439,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.13876,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.546473,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.300098,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.205131,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	25
